Name1,Total Time,Total Count,Avg Time,Avg Count,Last Session,Count Details0,Count Details1
ATS11801,2619:33:00,56,165:15:00,3.5,12/12/2013 23:59,,
ATS11802,2792:38:00,40,176:10:00,2.5,12/12/2013 23:59,,
ATS11803,2490:44:00,45,157:07:00,2.8,12/12/2013 23:59,,
ATS11804,2624:45:00,67,165:34:00,4.2,12/12/2013 23:59,,
ATS11805,2600:49:00,47,164:04:00,3,12/12/2013 23:59,,
ATS11806,2668:10:00,50,168:19:00,3.2,12/12/2013 23:59,,
ATS11807,2717:56:00,46,171:27:00,2.9,12/12/2013 23:59,,
ATS11808,2687:15:00,56,169:31:00,3.5,12/12/2013 23:59,,
ATS11809,2519:01:00,53,158:54:00,3.3,12/12/2013 23:59,,
ATS11810,2739:35:00,46,172:49:00,2.9,12/12/2013 23:59,,
ATS11811,2551:50:00,52,160:58:00,3.3,12/12/2013 23:59,,
ATS11812,2743:25:00,53,173:04:00,3.3,12/12/2013 23:59,,
ATS11813,2597:32:00,55,163:51:00,3.5,12/12/2013 23:59,,
ATS11814,2566:25:00,40,161:54:00,2.5,12/12/2013 23:59,,
ATS11815,2718:56:00,46,171:31:00,2.9,12/12/2013 23:59,,
ATS11816,2590:28:00,46,163:25:00,2.9,12/12/2013 23:59,,
ATS11817,2732:20:00,42,172:22:00,2.6,12/12/2013 16:49,,
BRH21401,51:38:00,48,3:15,3,12/9/2013 13:26,,
BRH21402,268:57:00,210,16:58,13.2,12/9/2013 14:42,,
BRH21403,182:44:00,121,11:32,7.6,12/12/2013 23:59,,
BRH21404,218:09:00,103,13:46,6.5,12/11/2013 9:34,,
BRH21406,74:14:00,69,4:41,4.4,12/5/2013 14:32,,
BRH21407,141:52:00,60,8:57,3.8,12/10/2013 12:50,,
BRH21408,78:34:00,96,4:57,6.1,12/12/2013 15:05,,
BRH21409,229:59:00,86,14:30,5.4,12/9/2013 19:39,,
BRH21410,132:30:00,59,8:21,3.7,12/3/2013 13:45,,
BRH21411,585:22:00,91,36:56:00,5.7,12/10/2013 15:01,,
BRH21412,234:03:00,110,14:46,6.9,12/11/2013 13:08,,
BRH21413,83:52:00,72,5:17,4.5,12/11/2013 11:19,,
BRH21414,197:37:00,77,12:28,4.9,12/10/2013 1:05,,
BRH21416,56:12:00,60,3:33,3.8,12/11/2013 16:30,,
BRH21417,143:18:00,83,9:02,5.2,12/6/2013 14:42,,
BRH21418,70:29:00,84,4:27,5.3,12/6/2013 14:41,,
BRH21419,64:14:00,71,4:03,4.5,12/5/2013 16:39,,
BRH21420,73:46:00,58,4:39,3.7,12/11/2013 12:15,,
BRH21421,131:39:00,93,8:18,5.9,12/2/2013 15:39,,
BRH21422,362:17:00,149,22:51,9.4,12/11/2013 17:18,,
BRH21424,184:22:00,63,11:38,4,12/10/2013 10:01,,
BRH21425,233:34:00,164,14:44,10.3,12/10/2013 17:14,,
BRH26401,114:37:00,36,7:14,2.3,12/9/2013 10:37,,
BRH26402,100:22:00,17,6:20,1.1,12/4/2013 18:10,,
BRH26403,29:03:00,15,1:50,0.9,12/6/2013 11:44,,
BRH26404,23:43,6,1:30,0.4,12/6/2013 11:44,,
BRH26405,8:15,8,0:31,0.5,12/6/2013 11:44,,
BRH26406,20:13,21,1:17,1.3,12/3/2013 21:15,,
BRH26407,181:41:00,12,11:28,0.8,12/11/2013 21:17,,
BRH26408,13:36,13,0:51,0.8,12/3/2013 20:51,,
BRH26409,19:53,17,1:15,1.1,12/6/2013 11:44,,
BRH26410,89:48:00,15,5:40,0.9,12/3/2013 20:52,,
BRH26411,15:25,15,0:58,0.9,12/3/2013 21:08,,
BRH26412,148:57:00,50,9:24,3.2,12/11/2013 15:33,,
DISSERV1,36:18:00,27,2:17,1.7,12/2/2013 13:30,,
DISSERV2,68:14:00,60,4:18,3.8,12/10/2013 8:41,,
DISSERV3,21:24,18,1:21,1.1,12/4/2013 21:00,,
DISSERV4,114:01:00,111,7:12,7,12/12/2013 15:47,,
DISSERV5,420:47:00,14,26:33:00,0.9,12/10/2013 23:11,,
DISSERV6,954:01:00,46,60:11:00,2.9,12/11/2013 15:27,,
GIH10401,375:01:00,231,23:39,14.6,12/10/2013 9:17,,
GIH10402,339:43:00,246,21:26,15.5,12/10/2013 8:55,,
GIH10403,270:43:00,236,17:05,14.9,12/6/2013 11:01,,
GIH10404,264:14:00,221,16:40,13.9,12/10/2013 8:58,,
GIH10405,270:25:00,211,17:04,13.3,12/10/2013 9:11,,
GIH10406,293:26:00,244,18:31,15.4,12/10/2013 9:07,,
GIH10407,301:15:00,223,19:00,14.1,12/10/2013 9:07,,
GIH10408,288:38:00,218,18:12,13.8,12/10/2013 9:10,,
GIH10409,315:53:00,233,19:56,14.7,12/10/2013 9:12,,
GIH10410,248:50:00,209,15:42,13.2,12/6/2013 10:49,,
GIH10411,296:06:00,242,18:41,15.3,12/10/2013 9:08,,
GIH10412,366:19:00,253,23:06,16,12/10/2013 8:46,,
GIH10413,239:22:00,190,15:06,12,12/10/2013 9:01,,
GIH10414,292:05:00,243,18:25,15.3,12/5/2013 15:16,,
GIH10415,300:35:00,256,18:58,16.1,12/10/2013 8:44,,
GIH10416,309:37:00,251,19:32,15.8,12/6/2013 10:52,,
GIH10417,327:56:00,258,20:41,16.3,12/10/2013 9:08,,
GIH10418,231:35:00,196,14:37,12.4,12/5/2013 15:23,,
GIH10419,414:42:00,211,26:10:00,13.3,12/12/2013 23:59,,
GIH10420,248:46:00,215,15:42,13.6,12/10/2013 9:16,,
GIH10421,269:18:00,206,16:59,13,12/10/2013 8:52,,
GIH10422,277:46:00,157,17:31,9.9,12/10/2013 8:51,,
GIH10423,241:36:00,208,15:14,13.1,12/6/2013 10:26,,
GIH10424,257:05:00,204,16:13,12.9,12/10/2013 9:17,,
GIH10425,140:02:00,122,8:50,7.7,12/6/2013 11:02,,
GIH10426,245:09:00,216,15:28,13.6,12/10/2013 8:39,,
GIH10427,262:56:00,222,16:35,14,12/10/2013 9:06,,
GIH10428,265:06:00,229,16:43,14.4,12/10/2013 8:43,,
GIH10429,258:43:00,218,16:19,13.8,12/6/2013 10:29,,
GIH10430,235:32:00,204,14:51,12.9,12/6/2013 10:36,,
GIH10431,274:18:00,238,17:18,15,12/6/2013 10:19,,
GIH107-2,3421:36:00,738,215:50:00,46.6,12/12/2013 23:59,,
GIH107-3,408:39:00,62,25:47:00,3.9,12/12/2013 4:39,,
GIH11501,415:55:00,243,26:14:00,15.3,12/10/2013 9:24,,
GIH11502,321:21:00,253,20:16,16,12/10/2013 8:34,,
GIH11503,448:02:00,241,28:16:00,15.2,12/10/2013 9:21,,
GIH11504,306:14:00,243,19:19,15.3,12/10/2013 9:14,,
GIH11505,303:27:00,225,19:09,14.2,12/10/2013 8:57,,
GIH11506,313:53:00,237,19:48,15,12/10/2013 8:47,,
GIH11507,259:40:00,198,16:23,12.5,12/10/2013 8:43,,
GIH11508,233:02:00,160,14:42,10.1,12/6/2013 11:01,,
GIH11509,163:02:00,124,10:17,7.8,12/10/2013 8:42,,
GIH11510,315:45:00,238,19:55,15,12/10/2013 8:38,,
GIH11511,307:43:00,229,19:25,14.4,12/10/2013 8:49,,
GIH11512,331:20:00,224,20:54,14.1,12/10/2013 8:44,,
GIH11513,335:13:00,264,21:09,16.7,12/10/2013 8:53,,
GIH11514,294:38:00,239,18:35,15.1,12/10/2013 8:48,,
GIH11515,833:59:00,264,52:37:00,16.7,12/10/2013 8:43,,
GIH11516,315:38:00,260,19:55,16.4,12/10/2013 8:54,,
GIH11517,396:15:00,224,25:00:00,14.1,12/5/2013 15:15,,
GIH11518,528:08:00,239,33:19:00,15.1,12/10/2013 9:21,,
GIH11519,409:44:00,248,25:51:00,15.6,12/10/2013 8:43,,
GIH11520,288:01:00,210,18:10,13.2,12/6/2013 10:54,,
GIH11521,236:42:00,183,14:56,11.5,12/10/2013 8:47,,
GIH11522,266:12:00,208,16:48,13.1,12/10/2013 8:50,,
GIH11523,214:41:00,152,13:33,9.6,12/10/2013 9:00,,
GIH11524,239:24:00,193,15:06,12.2,12/10/2013 8:50,,
GIH11525,284:11:00,216,17:56,13.6,12/10/2013 9:15,,
GIH11526,296:30:00,206,18:42,13,12/10/2013 9:11,,
GIH11527,333:40:00,231,21:03,14.6,12/10/2013 9:09,,
GIH11528,597:24:00,253,37:41:00,16,12/10/2013 9:20,,
GIH11529,308:56:00,236,19:29,14.9,12/10/2013 9:08,,
GIH11530,262:32:00,203,16:34,12.8,12/10/2013 8:33,,
HONORS01,199:02:00,504,12:33,31.8,12/12/2013 16:21,,
HONORS02,442:31:00,281,27:55:00,17.7,12/12/2013 3:47,,
HONORS03,369:33:00,217,23:19,13.7,12/12/2013 23:59,,
HONORS04,390:16:00,256,24:37:00,16.1,12/11/2013 19:33,,
HONORS05,150:55:00,138,9:31,8.7,12/12/2013 15:44,,
HONORS06,213:29:00,247,13:28,15.6,12/12/2013 23:59,,
HONORS08,235:24:00,143,14:51,9,12/12/2013 23:59,,
HONORS09,203:41:00,162,12:51,10.2,12/12/2013 7:53,,
HONORS10,130:14:00,202,8:13,12.7,12/12/2013 9:38,,
HONORS11,142:33:00,133,9:00,8.4,12/11/2013 15:56,,
LIBMED01,257:39:00,97,16:15,6.1,12/12/2013 16:29,,
LIBMED02,328:24:00,161,20:43,10.2,12/12/2013 14:09,,
LIBMED03,335:32:00,159,21:10,10,12/12/2013 23:59,,
LIBMED04,366:23:00,34,23:07,2.1,10/7/2013 23:30,,
LIBMED05,327:23:00,117,20:39,7.4,12/11/2013 19:16,,
LIBMED06,38:52:00,38,2:27,2.4,12/11/2013 13:02,,
LIBSHL101,1386:03:00,131,87:26:00,8.3,12/12/2013 19:45,,
LIBSHL103,1097:46:00,1079,69:15:00,68.1,12/12/2013 19:00,,
LIBSHL104,1076:52:00,1161,67:56:00,73.2,12/12/2013 18:11,,
LIBSHL105,876:43:00,1990,55:18:00,125.5,12/12/2013 19:48,,
LIBSHL106,1275:21:00,2555,80:27:00,161.2,12/12/2013 17:24,,
LIBSHL107,1591:13:00,2650,100:23:00,167.2,12/12/2013 19:59,,
LIBSHL108,1029:54:00,2252,64:58:00,142.1,12/12/2013 23:59,,
LIBSHL109,980:14:00,1522,61:50:00,96,12/12/2013 18:32,,
LIBSHL110,898:31:00,1034,56:41:00,65.2,12/12/2013 17:34,,
LIBSHL111,1070:03:00,1861,67:30:00,117.4,12/12/2013 18:08,,
LIBSHL112,1338:18:00,1913,84:25:00,120.7,12/12/2013 19:51,,
LIBSHL113,1585:04:00,2022,99:59:00,127.6,12/12/2013 19:42,,
LIBSHL114,1013:07:00,1533,63:55:00,96.7,12/12/2013 17:37,,
LIBSHL115,1133:50:00,1747,71:31:00,110.2,12/12/2013 20:00,,
LIBSHL116,1210:15:00,2126,76:21:00,134.1,12/12/2013 18:19,,
LIBSHL117,1074:37:00,1927,67:47:00,121.6,12/12/2013 15:18,,
LIBSHL118,1062:59:00,1646,67:03:00,103.8,12/12/2013 17:46,,
LIBSHL119,1125:43:00,1981,71:01:00,125,12/12/2013 18:46,,
LIBSHL120,1126:40:00,1626,71:04:00,102.6,12/12/2013 19:45,,
LIBSHL121,912:54:00,805,57:35:00,50.8,12/12/2013 19:47,,
LIBSHL122,1041:41:00,1531,65:43:00,96.6,12/12/2013 16:17,,
LIBSHL123,1235:00:00,1746,77:54:00,110.1,12/12/2013 19:02,,
LIBSHL124,1067:09:00,1645,67:19:00,103.8,12/12/2013 16:34,,
LIBSHL125,899:16:00,1129,56:44:00,71.2,12/12/2013 19:35,,
LIBSHL126,1086:30:00,1276,68:32:00,80.5,12/12/2013 19:56,,
LIBSHL201,867:57:00,1209,54:45:00,76.3,12/12/2013 13:34,,
LIBSHL202,1214:57:00,1283,76:38:00,80.9,12/12/2013 19:43,,
LIBSHL203,1318:44:00,1026,83:11:00,64.7,12/12/2013 17:13,,
LIBSHL204,914:26:00,1061,57:41:00,66.9,12/12/2013 18:44,,
LIBSHL205,968:08:00,1340,61:04:00,84.5,12/12/2013 17:20,,
LIBSHL206,947:14:00,1142,59:45:00,72,12/12/2013 18:56,,
LIBSHL207,535:10:00,1417,33:46:00,89.4,12/12/2013 17:01,,
LIBSHL208,501:01:00,1196,31:36:00,75.4,12/12/2013 13:19,,
LIBSHL209,1088:45:00,1061,68:41:00,66.9,12/12/2013 18:14,,
LIBSHL210,918:23:00,1110,57:56:00,70,12/12/2013 17:15,,
LIBSHL211,995:29:00,1027,62:48:00,64.8,12/12/2013 19:27,,
LIBSHL212,1022:49:00,951,64:31:00,60,12/12/2013 17:46,,
LIBSHL301,593:36:00,555,37:27:00,35,12/12/2013 10:49,,
LIBSHL302,829:19:00,584,52:19:00,36.8,12/12/2013 18:15,,
LIBSHL303,754:15:00,518,47:35:00,32.7,12/12/2013 15:30,,
LIBSHL304,619:26:00,738,39:05:00,46.6,12/11/2013 19:33,,
LIBSHL305,820:25:00,657,51:45:00,41.4,12/12/2013 12:56,,
LIBSHL306,920:08:00,609,58:03:00,38.4,12/12/2013 17:02,,
LIBSHL307,683:05:00,896,43:05:00,56.5,12/12/2013 15:41,,
LIBSHL308,819:49:00,657,51:43:00,41.4,12/12/2013 16:37,,
LIBSHL309,279:50:00,259,17:39,16.3,10/14/2013 12:46,,
SWH31801,42:05:00,51,2:39,3.2,12/11/2013 10:07,,
SWH31802,237:12:00,577,14:58,36.4,12/12/2013 17:24,,
SWH31803,246:44:00,250,15:34,15.8,12/12/2013 17:06,,
SWH31804,168:04:00,196,10:36,12.4,12/12/2013 23:59,,
SWH31805,152:31:00,182,9:37,11.5,12/12/2013 14:09,,
SWH31806,604:59:00,366,38:10:00,23.1,12/12/2013 17:13,,
SWH31807,247:51:00,223,15:38,14.1,12/12/2013 11:57,,
SWH31808,257:31:00,236,16:15,14.9,12/12/2013 15:49,,
SWH31809,970:35:00,259,61:14:00,16.3,12/12/2013 15:40,,
SWH31810,364:31:00,378,23:00,23.8,12/5/2013 19:47,,
SWH31811,279:00:00,199,17:36,12.6,12/12/2013 12:56,,
SWH31812,189:44:00,223,11:58,14.1,12/10/2013 18:10,,
SWH31813,204:48:00,223,12:55,14.1,12/12/2013 15:54,,
SWH31814,442:31:00,150,27:55:00,9.5,12/12/2013 13:00,,
SWH31815,195:36:00,153,12:20,9.7,12/12/2013 10:00,,
SWH31816,577:43:00,647,36:27:00,40.8,12/12/2013 16:12,,
SWH31817,259:43:00,265,16:23,16.7,12/11/2013 18:19,,
SWH31818,491:03:00,468,30:59:00,29.5,12/12/2013 23:29,,
SWH31819,216:15:00,258,13:39,16.3,12/12/2013 23:14,,
SWH31820,192:02:00,373,12:07,23.5,12/12/2013 14:20,,
SWH31821,134:03:00,145,8:27,9.1,12/11/2013 15:09,,
SWH31822,240:45:00,209,15:11,13.2,12/12/2013 23:26,,
SWH31823,274:28:00,378,17:19,23.8,12/12/2013 17:54,,
SWH31824,505:08:00,299,31:52:00,18.9,12/12/2013 12:06,,
SWH31825,266:25:00,304,16:48,19.2,12/12/2013 12:15,,
VA178C01701,167:19:00,247,10:33,15.6,12/12/2013 15:22,,
VA178C01702,67:12:00,35,4:14,2.2,12/12/2013 14:00,,
VA178C01703,63:45:00,61,4:01,3.8,12/12/2013 15:20,,
VA178C01704,86:33:00,134,5:28,8.5,12/12/2013 14:39,,
VA178C01705,92:30:00,162,5:50,10.2,12/12/2013 21:18,,
VA178C01706,200:22:00,19,12:38,1.2,12/12/2013 21:17,,
VA178C01707,348:30:00,33,21:59,2.1,12/12/2013 12:49,,
VA178C01708,147:53:00,59,9:20,3.7,12/12/2013 15:18,,
VA178C01709,853:16:00,144,53:50:00,9.1,12/12/2013 15:18,,
VA178C01710,131:33:00,163,8:18,10.3,12/12/2013 21:19,,
VA178C01711,80:57:00,43,5:06,2.7,12/12/2013 15:12,,
VA178C01712,62:55:00,57,3:58,3.6,12/12/2013 14:13,,
VA178C01713,486:04:00,78,30:40:00,4.9,12/12/2013 14:25,,
VA178C01714,221:45:00,209,13:59,13.2,12/12/2013 14:25,,
VA178C01715,238:45:00,302,15:04,19.1,12/12/2013 14:49,,
VA178C01716,408:36:00,81,25:47:00,5.1,12/12/2013 13:36,,
VA421601,293:35:00,8,18:31,0.5,12/9/2013 16:24,,
VA421602,4:07,3,0:16,0.2,11/18/2013 20:26,,
VA421603,1:58,2,0:07,0.1,9/3/2013 19:31,,
VA421604,8:39,11,0:33,0.7,12/10/2013 12:51,,
VA421605,35:31:00,24,2:14,1.5,12/2/2013 18:43,,
VA421606,16:52,12,1:04,0.8,11/14/2013 15:45,,
VA421607,14:10,23,0:54,1.5,12/6/2013 20:22,,
VA421608,235:21:00,48,14:51,3,12/12/2013 22:11,,
VA421609,169:06:00,69,10:40,4.4,12/12/2013 16:00,,
VA421610,23:20,19,1:28,1.2,11/22/2013 12:07,,
VA421611,21:08,28,1:20,1.8,12/2/2013 17:30,,
VA421612,157:15:00,18,9:55,1.1,12/7/2013 15:39,,
VA421613,60:10:00,67,3:48,4.2,12/12/2013 11:58,,
VA421614,328:31:00,262,20:43,16.5,12/12/2013 14:01,,
VA421615,282:21:00,145,17:49,9.1,12/12/2013 23:59,,
VA421616,101:04:00,112,6:23,7.1,12/12/2013 17:58,,
WPH20701,903:56:00,237,57:01:00,15,12/12/2013 19:22,,
WPH20702,670:09:00,150,42:16:00,9.5,12/12/2013 13:49,,
WPH20703,129:39:00,98,8:11,6.2,12/12/2013 15:36,,
WPH20704,113:33:00,100,7:10,6.3,12/12/2013 17:48,,
WPH20705,236:10:00,59,14:54,3.7,12/12/2013 17:47,,
WPH20706,123:10:00,96,7:46,6.1,12/12/2013 19:06,,
WPH20707,51:02:00,38,3:13,2.4,12/12/2013 14:04,,
WPH20708,93:17:00,111,5:53,7,12/12/2013 18:48,,
WPH20709,87:05:00,72,5:30,4.5,12/12/2013 18:40,,
WPH20710,154:35:00,116,9:45,7.3,12/12/2013 19:02,,
WPH20711,100:36:00,96,6:21,6.1,12/12/2013 18:51,,
WPH20712,435:54:00,119,27:30:00,7.5,12/12/2013 16:14,,
WPH20713,43:35:00,35,2:45,2.2,12/11/2013 13:51,,
WPH20714,98:10:00,88,6:12,5.6,12/11/2013 17:40,,
WPH20715,101:15:00,98,6:23,6.2,12/11/2013 13:50,,
WPH20716,174:57:00,241,11:02,15.2,12/12/2013 13:55,,
WPH20717,625:51:00,223,39:29:00,14.1,12/12/2013 18:42,,
WPH20718,178:16:00,278,11:15,17.5,12/12/2013 13:55,,
WPH20719,175:48:00,441,11:05,27.8,12/12/2013 19:16,,
WPH20720,294:50:00,340,18:36,21.4,12/12/2013 19:16,,
WPH20721,154:36:00,193,9:45,12.2,12/11/2013 13:55,,
WPH20722,66:52:00,50,4:13,3.2,12/12/2013 19:31,,
WWH20301,259:44:00,268,16:23,16.9,12/12/2013 10:14,,
WWH20302,404:23:00,157,25:31:00,9.9,12/12/2013 14:53,,
WWH20303,294:26:00,182,18:34,11.5,12/11/2013 8:00,,
WWH20304,236:17:00,210,14:54,13.2,12/12/2013 19:47,,
WWH20305,539:23:00,198,34:02:00,12.5,12/11/2013 13:45,,
WWH20306,366:11:00,213,23:06,13.4,12/12/2013 17:12,,
WWH20307,248:40:00,89,15:41,5.6,12/10/2013 14:56,,
WWH20308,296:48:00,122,18:43,7.7,12/11/2013 8:49,,
WWH20309,179:01:00,128,11:18,8.1,12/12/2013 17:25,,
WWH20310,220:03:00,139,13:53,8.8,12/11/2013 8:50,,
WWH20311,466:42:00,89,29:26:00,5.6,12/10/2013 14:56,,
WWH20312,174:10:00,126,10:59,7.9,12/11/2013 8:43,,
WWH20313,218:31:00,141,13:47,8.9,12/11/2013 12:00,,
WWH20314,329:25:00,182,20:47,11.5,12/11/2013 8:20,,
WWH20315,294:04:00,134,18:33,8.5,12/10/2013 17:20,,
WWH20316,148:19:00,107,9:21,6.7,12/11/2013 13:26,,
WWH20317,350:26:00,134,22:06,8.5,12/11/2013 8:46,,
WWH20318,115:35:00,49,7:17,3.1,12/4/2013 20:39,,
WWH20319,220:47:00,131,13:56,8.3,12/12/2013 19:11,,
WWH20320,345:54:00,162,21:49,10.2,12/11/2013 8:33,,
WWH20321,319:53:00,146,20:11,9.2,12/12/2013 23:59,,
WWH20322,640:34:00,202,40:24:00,12.7,12/12/2013 23:59,,
WWH20323,211:52:00,132,13:22,8.3,12/9/2013 15:17,,
WWH20324,475:33:00,167,30:00:00,10.5,12/10/2013 12:33,,
WWH20325,259:41:00,190,16:23,12,12/12/2013 12:47,,
WWH20326,270:48:00,216,17:05,13.6,12/12/2013 23:59,,
WWH20327,54:24:00,47,3:26,3,12/10/2013 11:50,,
WWH20328,397:49:00,221,25:06:00,13.9,12/11/2013 20:31,,
WWH20601,491:25:00,138,31:00:00,8.7,12/10/2013 19:20,,
WWH20602,311:06:00,107,19:37,6.7,12/12/2013 23:59,,
WWH20603,607:45:00,84,38:20:00,5.3,12/10/2013 19:12,,
WWH20604,396:19:00,97,25:00:00,6.1,12/7/2013 13:51,,
WWH20605,372:15:00,87,23:29,5.5,12/10/2013 20:36,,
WWH20606,428:54:00,81,27:03:00,5.1,12/10/2013 20:15,,
WWH20607,209:20:00,75,13:12,4.7,12/10/2013 20:33,,
WWH20608,64:19:00,49,4:03,3.1,12/10/2013 8:06,,
WWH20609,108:18:00,60,6:50,3.8,12/10/2013 17:22,,
WWH20610,270:16:00,74,17:03,4.7,12/12/2013 23:59,,
WWH20611,13:13,15,0:50,0.9,11/13/2013 17:24,,
WWH20612,10:04,11,0:38,0.7,12/7/2013 16:18,,
WWH20613,34:59:00,22,2:12,1.4,12/3/2013 11:08,,
WWH20614,170:12:00,79,10:44,5,12/12/2013 12:27,,
WWH20615,435:44:00,79,27:29:00,5,12/12/2013 20:13,,
WWH20616,138:50:00,52,8:45,3.3,12/12/2013 10:31,,
WWH20617,383:31:00,63,24:12:00,4,12/12/2013 8:00,,
WWH20618,91:25:00,30,5:46,1.9,12/5/2013 11:36,,
WWH20619,485:21:00,60,30:37:00,3.8,12/12/2013 23:59,,
WWH20620,262:49:00,71,16:35,4.5,12/12/2013 10:42,,
WWH20621,720:32:00,88,45:27:00,5.6,12/12/2013 20:16,,
